model,auc_roc,auc_pr,f1_optimal,precision_opt,recall_opt,optimal_threshold,fpr,tpr,inference_ms,precision_0.3,recall_0.3,f1_0.3,precision_0.5,recall_0.5,f1_0.5,precision_0.7,recall_0.7,f1_0.7,tn,fp,fn,tp
Logistic Regression,0.838604396138965,0.5193586479156331,0.5114503816793893,0.49039341262580055,0.5343968095712861,0.7017682058099124,0.0857318762505772,0.5343968095712861,3.0038159999890013,0.23510722795869737,0.8853439680957128,0.37154811715481173,0.3403669724770642,0.7397806580259222,0.4662268300345586,0.4886052871467639,0.5343968095712861,0.5104761904761905,5940,557,467,536
XGBoost (Structured),0.7905477042782688,0.429069632946519,0.45978021978021977,0.4111635220125786,0.5214356929212363,0.6343169212341309,0.1152839772202555,0.5214356929212363,8.699654999986706,0.18231046931407943,0.9062811565304087,0.3035565202871932,0.30098754830399316,0.6989032901296112,0.4207683073229292,0.484375,0.3708873379860419,0.4201016374929418,5748,749,480,523
XGBoost (Sentiment),0.7987431425900842,0.43334349871202704,0.4542063820969747,0.38865248226950355,0.5463609172482552,0.6178269982337952,0.1326766199784516,0.5463609172482552,6.835684999998648,0.18994764397905758,0.9042871385842473,0.3139494634821738,0.29682875264270614,0.6999002991026919,0.4168646080760095,0.484375,0.4017946161515454,0.43923705722070844,5635,862,455,548
Ensemble Stack,0.8184291208259169,0.4734381500278931,0.4974271012006861,0.436418359668924,0.5782652043868395,0.6845523652432869,0.1152839772202555,0.5782652043868395,134.83783799995308,0.2329652572044169,0.8624127617148555,0.36683630195080574,0.32819582955575705,0.7218344965104686,0.4512309130570271,0.44311853619729513,0.555333998005982,0.4929203539823009,5748,749,423,580
